qct_id,official_qct_050,E100,E050,Q100,Q050
010550105010,0,0,0,0,0
010550105020,0,0,0,0,0
010550106010,0,0,0,0,0
010550106020,0,0,0,0,0
010550107000,0,0,0,0,0
010550108000,0,0,0,0,0
010550109000,0,0,0,0,0
010550110010,0,0,0,0,0
010550110020,0,0,0,0,0
010550111000,0,0,0,0,0
010550112000,1,1,1,1,1
010570200000,0,0,0,0,0
010570201000,0,0,0,0,0
010570202000,0,0,0,0,0
010570203000,1,1,1,0,1
010570204000,0,0,0,0,0
010599729000,0,0,0,0,0
010599730000,0,0,0,0,0
010599731000,0,0,0,0,0
010599732000,0,1,1,0,0
010599733000,0,0,0,0,0
010599734000,0,1,1,0,0
010599735000,0,0,0,0,0
010599736000,0,0,0,0,0
010599737000,0,0,0,0,0
010610501000,0,0,0,0,0
010610502000,0,0,0,0,0
010610503000,1,1,1,1,1
010610504000,0,0,0,0,0
010610505000,0,0,0,0,0
010610506000,0,0,0,0,0
010630600000,1,1,1,1,1
010630601000,0,1,1,0,0
010630602000,1,1,1,1,1
010650400000,0,0,0,0,0
010650401000,0,0,0,0,0
010650402000,0,0,0,0,0
010650403000,0,1,1,0,0
010650404000,1,1,1,1,1
010650405000,1,1,1,0,1
010670301000,0,0,0,0,0
010670302000,0,0,0,0,0
010670303000,0,0,0,0,0
010670304000,0,0,0,0,0
010670305000,0,0,0,0,0
010670306000,0,0,0,0,0
010690401000,0,0,0,0,0
010690402010,0,0,0,0,0
010690402020,0,0,0,0,0
010690403010,0,0,0,0,0
010690403020,1,1,1,1,1
010690404000,0,0,0,0,0
010690405000,0,0,0,0,0
010690406000,1,1,1,1,1
010690407000,0,0,0,0,0
010690408000,0,0,0,0,0
010690409000,0,0,0,0,0
010690410000,1,1,1,1,1
010690411000,0,0,0,0,0
010690412000,1,1,1,1,1
010690414000,1,1,1,1,1
010690415000,1,1,1,1,1
010690416000,0,0,0,0,0
010690417000,1,1,1,1,1
010690418000,0,0,0,0,0
010690419000,0,0,0,0,0
010690420000,0,0,0,0,0
010690421000,0,0,0,0,0
010719501000,0,0,0,0,0
010719502000,0,0,0,0,0
010719503000,0,0,0,0,0
010719504000,0,0,0,0,0
010719505000,0,0,0,0,0
010719506000,0,0,0,0,0
010719507000,0,0,0,0,0
010719508000,0,0,0,0,0
010719509000,0,0,0,0,0
010719510000,0,0,0,0,0
010719511000,0,0,0,0,0
010730001000,1,1,1,1,1
010730003000,1,1,1,1,1
010730004000,1,1,1,1,1
010730005000,1,1,1,1,1
010730007000,1,1,1,1,1
010730008000,1,1,1,1,1
010730011000,1,1,1,1,1
010730012000,1,1,1,1,1
010730014000,1,1,1,1,1
010730015000,1,1,1,1,1
010730016000,1,1,1,1,1
010730019020,1,1,1,1,1
010730020000,1,1,1,1,1
010730021000,1,1,1,1,1
010730022000,1,1,1,1,1
010730023030,1,1,1,1,1
010730023050,0,0,0,0,0
010730023060,0,0,0,0,0
